
    Level 0 start: 8388608 boxes, hw=1.50000, res=100, resume_from=0
      level 0 progress: 4300000/8388608 (51.26%) boxes, eliminated=105696, survivors_so_far=4194304, evals=4967712, elapsed=89.6s, eta=85.2s
      level 0 progress: 4325000/8388608 (51.56%) boxes, eliminated=130696, survivors_so_far=4194304, evals=6142712, elapsed=106.2s, eta=99.8s
      level 0 progress: 4350000/8388608 (51.86%) boxes, eliminated=155696, survivors_so_far=4194304, evals=7317712, elapsed=122.7s, eta=113.9s
      level 0 progress: 4375000/8388608 (52.15%) boxes, eliminated=180696, survivors_so_far=4194304, evals=8492712, elapsed=139.2s, eta=127.7s
      level 0 progress: 4400000/8388608 (52.45%) boxes, eliminated=205696, survivors_so_far=4194304, evals=9667712, elapsed=155.7s, eta=141.1s
      level 0 progress: 4425000/8388608 (52.75%) boxes, eliminated=230696, survivors_so_far=4194304, evals=10842712, elapsed=172.3s, eta=154.4s
      level 0 progress: 4450000/8388608 (53.05%) boxes, eliminated=255696, survivors_so_far=4194304, evals=12017712, elapsed=189.0s, eta=167.3s
      level 0 progress: 4475000/8388608 (53.35%) boxes, eliminated=280696, survivors_so_far=4194304, evals=13192712, elapsed=205.5s, eta=179.8s
      level 0 progress: 4500000/8388608 (53.64%) boxes, eliminated=305696, survivors_so_far=4194304, evals=14367712, elapsed=222.2s, eta=192.0s
      level 0 progress: 4525000/8388608 (53.94%) boxes, eliminated=330696, survivors_so_far=4194304, evals=15542712, elapsed=239.3s, eta=204.3s
      level 0 progress: 4550000/8388608 (54.24%) boxes, eliminated=355696, survivors_so_far=4194304, evals=16717712, elapsed=257.8s, eta=217.5s
      level 0 progress: 4575000/8388608 (54.54%) boxes, eliminated=380696, survivors_so_far=4194304, evals=17892712, elapsed=274.4s, eta=228.8s
      level 0 progress: 4600000/8388608 (54.84%) boxes, eliminated=405696, survivors_so_far=4194304, evals=19067712, elapsed=291.0s, eta=239.7s
      level 0 progress: 4625000/8388608 (55.13%) boxes, eliminated=430696, survivors_so_far=4194304, evals=20242712, elapsed=307.6s, eta=250.3s
      level 0 progress: 4650000/8388608 (55.43%) boxes, eliminated=455696, survivors_so_far=4194304, evals=21417712, elapsed=324.2s, eta=260.7s
      level 0 progress: 4675000/8388608 (55.73%) boxes, eliminated=480696, survivors_so_far=4194304, evals=22592712, elapsed=340.8s, eta=270.7s
      level 0 progress: 4700000/8388608 (56.03%) boxes, eliminated=505696, survivors_so_far=4194304, evals=23767712, elapsed=357.4s, eta=280.5s
      level 0 progress: 4725000/8388608 (56.33%) boxes, eliminated=530696, survivors_so_far=4194304, evals=24942712, elapsed=374.0s, eta=290.0s
      level 0 progress: 4750000/8388608 (56.62%) boxes, eliminated=555696, survivors_so_far=4194304, evals=26117712, elapsed=390.6s, eta=299.2s
      level 0 progress: 4775000/8388608 (56.92%) boxes, eliminated=580696, survivors_so_far=4194304, evals=27292712, elapsed=407.1s, eta=308.1s
      level 0 progress: 4800000/8388608 (57.22%) boxes, eliminated=605696, survivors_so_far=4194304, evals=28467712, elapsed=423.7s, eta=316.8s
      level 0 progress: 4825000/8388608 (57.52%) boxes, eliminated=630696, survivors_so_far=4194304, evals=29642712, elapsed=440.8s, eta=325.6s
      level 0 progress: 4850000/8388608 (57.82%) boxes, eliminated=655696, survivors_so_far=4194304, evals=30817712, elapsed=457.4s, eta=333.7s
      level 0 progress: 4875000/8388608 (58.11%) boxes, eliminated=680696, survivors_so_far=4194304, evals=31992712, elapsed=476.0s, eta=343.1s
      level 0 progress: 4900000/8388608 (58.41%) boxes, eliminated=705696, survivors_so_far=4194304, evals=33167712, elapsed=492.5s, eta=350.7s
      level 0 progress: 4925000/8388608 (58.71%) boxes, eliminated=730696, survivors_so_far=4194304, evals=34342712, elapsed=509.0s, eta=358.0s
      level 0 progress: 4950000/8388608 (59.01%) boxes, eliminated=755696, survivors_so_far=4194304, evals=35517712, elapsed=525.6s, eta=365.1s
      level 0 progress: 4975000/8388608 (59.31%) boxes, eliminated=780696, survivors_so_far=4194304, evals=36692712, elapsed=542.2s, eta=372.0s
      level 0 progress: 5000000/8388608 (59.60%) boxes, eliminated=805696, survivors_so_far=4194304, evals=37867712, elapsed=560.8s, eta=380.1s
